Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1374267,The Shark Net,Robert Drewe,"Drewe, Robert",,"=""0143002155""","=""9780143002154""",3,3.68,Penguin Australia,Paperback,358,2006,2000,,2018/10/18,,,read,,,,1,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",3,4.18,Viking,Hardcover,487,2011,2011,,2018/10/18,,,read,,,,1,0
177068,The Fabric of Reality: The Science of Parallel Universes--and Its Implications,David Deutsch,"Deutsch, David",,"=""014027541X""","=""9780140275414""",4,4.14,Penguin Books,Paperback,390,1998,1996,,2018/10/18,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",5,3.93,Scribner,Paperback,180,1925,1925,,2018/10/18,,,read,,,,1,0
12612,Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,"Chomsky, Noam",,"=""0805076883""","=""9780805076882""",3,3.97,Holt Paperbacks,Paperback,304,2004,2003,,2018/10/18,,,read,,,,1,0
194805,Understanding Power: The Indispensable Chomsky,Noam Chomsky,"Chomsky, Noam","John Schoeffel, R. Mitchell","=""1565847032""","=""9781565847033""",5,4.41,The New Press,Paperback,416,2002,2002,,2018/10/18,,,read,,,,1,0
12617,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,"Herman, Edward S.",Noam Chomsky,"=""0375714499""","=""9780375714498""",5,4.24,Knopf Doubleday Publishing Group,Paperback,412,2002,1988,,2018/10/18,,,read,,,,1,0
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",5,4.25,Back Bay Books,Paperback,1088,2005,1996,,2018/10/18,,,read,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",5,4.10,Dial Press,Paperback,275,1999,1969,,2018/10/18,,,read,,,,1,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",3,4.07,Dell Publishing,Paperback,303,1999,1973,,2018/10/18,,,read,,,,1,0
10197857,Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens,Nicholas Shaxson,"Shaxson, Nicholas",,"=""0230105017""","=""9780230105010""",4,4.19,St. Martin's Press,Hardcover,272,2011,2011,,2018/10/18,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",4,4.29,Houghton Mifflin,Paperback,366,2002,1937,,2018/10/18,,,read,,,,1,0
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",Maria Skibniewska,"=""""","=""""",5,4.57,Del Rey,Mass Market Paperback,404,2003,1955,,2018/10/18,,,read,,,,1,0
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.","Peter S. Beagle, Дж.Р.Р. Толкін, Аліна Немірова, П. Риженко","=""0618346260""","=""9780618346264""",4,4.49,Houghton Mifflin,Paperback,322,1993,1954,,2018/10/18,,,read,,,,1,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",5,4.40,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2018/10/18,,,read,,,,1,0
12321,Beyond Good and Evil,Friedrich Nietzsche,"Nietzsche, Friedrich","Michael Tanner, R.J. Hollingdale","=""014044923X""","=""9780140449235""",4,4.03,Penguin Classics,Paperback,240,2003,1886,,2018/10/18,,,read,,,,1,0
19068,The Nicomachean Ethics,Aristotle,"Aristotle, Aristotle","Hugh Tredennick, J.A.K. Thomson, Jonathan Barnes","=""0140449493""","=""9780140449495""",5,3.99,Penguin Classics,Paperback,329,2004,-350,,2018/10/18,,,read,,,,1,0
327051,Reasons and Persons,Derek Parfit,"Parfit, Derek",,"=""019824908X""","=""9780198249085""",5,4.27,Oxford University Press,Paperback,543,1986,1984,,2018/10/18,,,read,,,,1,0
23168483,The Most Good You Can Do: How Effective Altruism Is Changing Ideas About Living Ethically,Peter Singer,"Singer, Peter",,"=""0300180276""","=""9780300180275""",3,3.81,Yale University Press,Hardcover,211,2015,2015,,2018/10/18,,,read,,,,1,0
29380,Animal Liberation,Peter Singer,"Singer, Peter",,"=""0060011572""","=""9780060011574""",5,4.30,Ecco Press,Paperback,324,2001,1975,,2018/10/18,,,read,,,,1,0
65118,"The Hostile Hospital (A Series of Unfortunate Events, #8)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""1405206128""","=""9781405206129""",4,3.99,Egmont,Hardcover,272,2003,2001,2006/01/01,2018/10/18,,,read,,,,1,0
47613,"Mister Monday (The Keys to the Kingdom, #1)",Garth Nix,"Nix, Garth",,"=""0439856264""","=""9780439856263""",4,3.81,Scholastic,Paperback,384,2006,2003,2007/01/01,2018/10/18,,,read,,,,1,0
297792,"The Slippery Slope (A Series of Unfortunate Events, #10)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064410137""","=""9780064410137""",4,4.05,HarperCollins Publishers,Hardcover,337,2003,2003,,2018/10/18,,,read,,,,1,0
324277,"The Carnivorous Carnival (A Series of Unfortunate Events, #9)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064410129""","=""9780064410120""",4,4.01,HarperCollins Publishers,Hardcover,286,2002,2002,,2018/10/18,,,read,,,,1,0
150037,"The Vile Village (A Series of Unfortunate Events, #7)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0060566221""","=""9780060566227""",4,3.97,HarperCollins Publishers ,Hardcover,272,2001,2001,,2018/10/18,,,read,,,,1,0
131123,"The Austere Academy (A Series of Unfortunate Events, #5)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064408639""","=""9780064408639""",4,4.01,HarperCollins,Hardcover,221,2000,2000,,2018/10/18,,,read,,,,1,0
65119,"The Miserable Mill (A Series of Unfortunate Events, #4)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0439272637""","=""9780439272636""",4,3.86,"Scholastic, Inc.",Paperback,194,2000,2000,,2018/10/18,,,read,,,,1,0
438492,"The Wide Window (A Series of Unfortunate Events, #3)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064407683""","=""9780064407687""",4,3.95,HarperCollins Publishers,Hardcover,214,2000,2000,,2018/10/18,,,read,,,,1,0
78418,"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""""","=""""",4,4.02,"Scholastic, Inc.",Paperback,192,1999,1999,,2018/10/18,,,read,,,,1,0
78411,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0439206472""","=""9780439206471""",4,4.02,"Scholastic, Inc.",Paperback,162,1999,1999,,2018/10/18,,,read,,,,1,0
172327,"The Ersatz Elevator (A Series of Unfortunate Events, #6)",Lemony Snicket,"Snicket, Lemony",Tim Curry,"=""0060566213""","=""9780060566210""",4,4.06,HarperCollins Publishers ,Hardcover,259,2001,2001,,2018/10/18,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Mary GrandPré, Jim Kay","=""""","=""""",4,4.57,Scholastic,Paperback,734,2002,2000,,2018/10/18,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2018/10/18,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2018/10/18,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",4,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2018/10/18,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",4,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2018/10/18,,,read,,,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",4,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,,2018/10/18,,,read,,,,1,0
16902,Walden,Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",5,3.78,Princeton University Press,Paperback,352,2004,1854,,2018/10/18,,,read,,,,1,0
43369,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,"Hitchens, Christopher",,"=""0446579807""","=""9780446579803""",4,3.96,Twelve Books,Hardcover,307,2007,2007,,2018/10/18,,,read,,,,1,0
29501,"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,"Harris, Sam",,"=""0393327655""","=""9780393327656""",3,3.90,W. W. Norton,Paperback,348,2005,2004,,2018/10/18,,,read,,,,1,0
14743,The God Delusion,Richard Dawkins,"Dawkins, Richard",,"=""0618680004""","=""9780618680009""",4,3.90,Houghton Mifflin Co.,Hardcover,374,2006,2006,,2018/10/18,,,read,,,,1,0
